Breed,Code
Angus,0
BelgianBlue,1
Brahman,2
Charolais,3
Hereford,4
Holstein,5
Limousin,6
NorwayRed,7
Piedmont,8
ShortHorn,9
Simmental,10
SouthDevon,11
SwissBrown,12
Wagyu,13
alitaibaitou,14
apeijiaza,15
bohaihei,16
chaidamu,17
dengchuan,18
dianzhong,19
diqing,20
ebianhua,21
fuzhou,22
ganzi,23
guangfeng,24
hasake,25
jiangcheng,26
jiaxianhong,27
jinnan,28
leiqiongguangdong,29
liangshan,30
longlin,31
luxi,32
menggu,33
mengshan,34
minnan,35
nanyang,36
pingwu,37
qinchuan,38
rikaze,39
sanjiang,40
wannan,41
wenlinggaofeng,42
xizang,43
xuzhou,44
yanbian,45
yunnangaofeng,46
zaosheng,47
zhoushan,48
